City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Naze,JP,2021-10-26 13:18:09,28.3667,129.4833,66.69,64,3,7.31
1,Mahebourg,MU,2021-10-26 13:19:24,-20.4081,57.7,77.29,69,40,13.8
2,Caraballeda,VE,2021-10-26 13:19:01,10.6112,-66.8522,83.37,83,40,3.44
3,Tasiilaq,GL,2021-10-26 13:18:55,65.6145,-37.6368,35.76,81,100,9.04
4,Qaqortoq,GL,2021-10-26 13:17:47,60.7167,-46.0333,41.5,51,38,12.44
5,Avera,US,2021-10-26 13:19:45,33.194,-82.5271,57.9,73,0,9.53
6,Farafangana,MG,2021-10-26 13:21:26,-22.8167,47.8333,78.69,73,75,14.67
7,Novopokrovka,UA,2021-10-26 13:21:27,49.8425,36.5477,48.58,29,26,7.52
8,Morondava,MG,2021-10-26 13:21:27,-20.2833,44.2833,81.88,63,0,14.63
9,Ushuaia,AR,2021-10-26 13:17:10,-54.8,-68.3,42.46,65,75,8.05
10,San Quintin,MX,2021-10-26 13:21:27,30.4833,-115.95,60.37,73,1,17.76
11,Upernavik,GL,2021-10-26 13:18:10,72.7868,-56.1549,13.46,52,49,7.0
12,Busselton,AU,2021-10-26 13:17:33,-33.65,115.3333,51.6,84,100,7.83
13,Trairi,BR,2021-10-26 13:18:51,-3.2778,-39.2689,88.02,49,2,16.4
14,Port Lincoln,AU,2021-10-26 13:17:36,-34.7333,135.8667,69.71,45,0,15.66
15,New Norfolk,AU,2021-10-26 13:17:39,-42.7826,147.0587,45.91,71,91,0.49
16,Bluff,NZ,2021-10-26 13:17:57,-46.6,168.3333,51.71,92,100,4.05
17,Punta Arenas,CL,2021-10-26 13:14:30,-53.15,-70.9167,46.51,76,0,21.85
18,Vaini,TO,2021-10-26 13:17:52,-21.2,-175.2,71.76,88,20,8.05
19,Maniitsoq,GL,2021-10-26 13:18:29,65.4167,-52.9,32.34,45,0,5.84
20,Macenta,GN,2021-10-26 13:21:28,8.5435,-9.471,85.26,55,76,2.62
21,Bathsheba,BB,2021-10-26 13:21:28,13.2167,-59.5167,86.61,66,20,20.71
22,Albany,US,2021-10-26 13:15:24,42.6001,-73.9662,52.3,95,100,5.84
23,Mukhen,RU,2021-10-26 13:21:29,48.1,136.1,43.72,72,23,5.46
24,Rikitea,PF,2021-10-26 13:17:31,-23.1203,-134.9692,75.33,75,100,15.57
25,Atuona,PF,2021-10-26 13:17:23,-9.8,-139.0333,77.0,73,99,12.59
26,Hermanus,ZA,2021-10-26 13:17:29,-34.4187,19.2345,72.81,52,94,21.85
27,Camacha,PT,2021-10-26 13:21:29,33.0833,-16.3333,71.02,53,20,13.8
28,Hambantota,LK,2021-10-26 13:17:52,6.1241,81.1185,80.13,82,100,12.28
29,Coquimbo,CL,2021-10-26 13:14:48,-29.9533,-71.3436,56.93,88,90,6.91
30,Wasilla,US,2021-10-26 13:21:29,61.5814,-149.4394,35.29,78,1,3.0
31,Kapaa,US,2021-10-26 13:17:24,22.0752,-159.319,73.72,87,1,11.5
32,Geraldton,AU,2021-10-26 13:19:10,-28.7667,114.6,61.12,72,40,13.8
33,Mataura,NZ,2021-10-26 13:17:31,-46.1927,168.8643,51.06,100,100,2.53
34,Quatre Cocos,MU,2021-10-26 13:21:30,-20.2078,57.7625,77.11,73,50,17.13
35,Nochistlan,MX,2021-10-26 13:21:30,21.3667,-102.85,57.04,93,100,0.94
36,Gat,IL,2021-10-26 13:21:30,31.61,34.7642,81.39,50,0,13.24
37,The Valley,AI,2021-10-26 13:20:17,18.217,-63.0578,85.1,70,20,11.5
38,Hithadhoo,MV,2021-10-26 13:17:42,-0.6,73.0833,83.41,76,100,17.11
39,Kavaratti,IN,2021-10-26 13:17:39,10.5669,72.642,81.91,76,98,14.03
40,Hami,CN,2021-10-26 13:18:28,42.8,93.45,53.11,29,0,1.77
41,Severo-Kurilsk,RU,2021-10-26 13:18:35,50.6789,156.125,44.4,86,20,10.63
42,Jamestown,US,2021-10-26 13:17:28,42.097,-79.2353,45.72,99,90,7.0
43,Cherskiy,RU,2021-10-26 13:18:15,68.75,161.3,-19.12,100,95,4.74
44,Kui Buri,TH,2021-10-26 13:21:31,12.0828,99.8543,78.33,81,90,5.48
45,Ahmadnagar,IN,2021-10-26 13:21:31,19.0833,74.7333,76.5,42,4,7.81
46,Ostrovnoy,RU,2021-10-26 13:17:50,68.0531,39.5131,28.27,83,100,7.61
47,Tuktoyaktuk,CA,2021-10-26 13:18:26,69.4541,-133.0374,28.4,100,90,9.22
48,Constitucion,CL,2021-10-26 13:21:32,-35.3333,-72.4167,60.91,68,0,9.28
49,Ginir,ET,2021-10-26 13:21:32,7.1333,40.7,68.02,60,100,7.25
50,Glendive,US,2021-10-26 13:21:32,47.1053,-104.7125,41.63,95,90,6.91
51,Nyurba,RU,2021-10-26 13:17:48,63.2842,118.3319,30.24,93,100,6.42
52,Estelle,US,2021-10-26 13:21:33,29.8458,-90.1067,72.0,78,75,0.0
53,Talnakh,RU,2021-10-26 13:18:25,69.4865,88.3972,9.79,95,94,6.42
54,Bethel,US,2021-10-26 13:13:24,41.3712,-73.414,63.5,93,90,5.01
55,Luau,AO,2021-10-26 13:21:33,-10.7073,22.2247,85.98,41,78,3.62
56,Gold Coast,AU,2021-10-26 13:18:12,-28.0,153.4333,71.38,88,75,3.0
57,Norman Wells,CA,2021-10-26 13:19:52,65.282,-126.8329,26.64,93,75,3.44
58,Bama,NG,2021-10-26 13:21:34,11.5221,13.6856,100.18,13,91,9.55
59,Cape Town,ZA,2021-10-26 13:17:24,-33.9258,18.4232,81.01,45,0,5.01
60,Saint George,US,2021-10-26 13:16:52,37.1041,-113.5841,52.27,71,1,1.01
61,Jeremie,HT,2021-10-26 13:21:34,18.65,-74.1167,81.81,71,69,0.63
62,Beatrice,US,2021-10-26 13:21:34,40.2681,-96.747,48.18,87,90,12.66
63,Isangel,VU,2021-10-26 13:17:24,-19.55,169.2667,74.98,88,7,5.19
64,Grand Gaube,MU,2021-10-26 13:21:35,-20.0064,57.6608,77.4,73,13,8.99
65,Avarua,CK,2021-10-26 13:18:43,-21.2078,-159.775,71.65,73,20,4.61
66,Marseille,FR,2021-10-26 13:21:17,43.3333,5.5,68.63,53,0,5.01
67,Plettenberg Bay,ZA,2021-10-26 13:21:35,-34.0527,23.3716,67.05,77,100,22.41
68,Linden,GY,2021-10-26 13:21:35,6.0,-58.3,82.54,77,100,3.13
69,Provideniya,RU,2021-10-26 13:19:05,64.3833,-173.3,13.32,82,46,5.37
70,Chingirlau,KZ,2021-10-26 13:21:36,51.095,54.0814,38.41,37,6,4.32
71,Saurimo,AO,2021-10-26 13:21:36,-9.6608,20.3916,84.52,54,75,0.0
72,Qaanaaq,GL,2021-10-26 13:17:34,77.484,-69.3632,14.14,88,100,11.72
73,Grindavik,IS,2021-10-26 13:19:16,63.8424,-22.4338,44.55,75,0,23.02
74,Kautokeino,NO,2021-10-26 13:21:36,69.0125,23.0412,22.78,95,100,9.48
75,Nouadhibou,MR,2021-10-26 13:21:37,20.931,-17.0347,76.98,57,100,6.91
